vertical,state,city
movers,TX,Houston
movers,TX,Dallas
movers,TX,Austin
movers,AZ,Phoenix
movers,CO,Denver
movers,WA,Seattle
movers,OR,Portland
movers,CA,San Diego
movers,CA,Sacramento
movers,GA,Atlanta
movers,NC,Charlotte
movers,TN,Nashville
movers,OH,Columbus
movers,IN,Indianapolis
movers,MN,Minneapolis
movers,MO,Kansas City
movers,MO,St. Louis
movers,FL,Tampa
movers,FL,Orlando
movers,NV,Las Vegas
